songID,songName,artistId,popularity,track_href
04WxFTgT3bEvX1WOYzT5Ky,Cowboys Don’t Cry,6TLwD7HPWuiOzvXEa3oCNe,66,https://api.spotify.com/v1/tracks/04WxFTgT3bEvX1WOYzT5Ky
0eu4C55hL6x29mmeAjytzC,Life Goes On,6TLwD7HPWuiOzvXEa3oCNe,79,https://api.spotify.com/v1/tracks/0eu4C55hL6x29mmeAjytzC
4g2c7NoTWAOSYDy44l9nub,Lavender Haze,06HL4z0CvFAxyc27GXpf02,88,https://api.spotify.com/v1/tracks/4g2c7NoTWAOSYDy44l9nub
2KkIiEt1WIHOYItqkD30kR,Lavender Haze,06HL4z0CvFAxyc27GXpf02,67,https://api.spotify.com/v1/tracks/2KkIiEt1WIHOYItqkD30kR
4brdb8L2Cy3e9AN8IfV9l8,Text Book,00FQb4jTyendYWaN8pK0wa,59,https://api.spotify.com/v1/tracks/4brdb8L2Cy3e9AN8IfV9l8
4Hl9rOqYomojCmxYfr25im,White Dress,00FQb4jTyendYWaN8pK0wa,62,https://api.spotify.com/v1/tracks/4Hl9rOqYomojCmxYfr25im
6sCvvleqKbeyOkQDieBYgp,Lift Me Up,5pKCCKE2ajJHZ9KAiaK11H,23,https://api.spotify.com/v1/tracks/6sCvvleqKbeyOkQDieBYgp
6t90Z9XkdsHD8xMxro6KRP,Consideration,5pKCCKE2ajJHZ9KAiaK11H,72,https://api.spotify.com/v1/tracks/6t90Z9XkdsHD8xMxro6KRP
6t90Z9XkdsHD8xMxro6KRP,Consideration,7tYKF4w9nC0nq9CsPZTHyP,72,https://api.spotify.com/v1/tracks/6t90Z9XkdsHD8xMxro6KRP
6v4BO70yz5MclzEjuyIWpW,Objection (Tango),0EmeFodog0BfCgMzAIvKQp,42,https://api.spotify.com/v1/tracks/6v4BO70yz5MclzEjuyIWpW
7u08BrKirWMZoFLGjPGXYe,Estoy Aquí/Dónde Estás Corazón Medley - El Dorado World Tour Live,0EmeFodog0BfCgMzAIvKQp,40,https://api.spotify.com/v1/tracks/7u08BrKirWMZoFLGjPGXYe
0Grpt3Up0Kaj7PljmT7inL,Waving Through A Window - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,6qGkLCMQkNGOJ079iEcC5k,51,https://api.spotify.com/v1/tracks/0Grpt3Up0Kaj7PljmT7inL
2EYFOgfPkmLW3peGU8AYwg,Diamonds - Live At Abbey Road Studios,2wY79sveU1sp5g7SokKOiI,43,https://api.spotify.com/v1/tracks/2EYFOgfPkmLW3peGU8AYwg
3gj1hwjku4JaoamjJVqIIl,Dawn FM,1Xyo4u8uXC1ZmMpatF05PJ,54,https://api.spotify.com/v1/tracks/3gj1hwjku4JaoamjJVqIIl
0tRzZW3c54dHtRXBd1ADGo,Dawn FM,1Xyo4u8uXC1ZmMpatF05PJ,31,https://api.spotify.com/v1/tracks/0tRzZW3c54dHtRXBd1ADGo
5HHWykPjtlGoJpZpoy4zNH,Tiempo,0tmwSHipWxN12fsoLcFU3B,56,https://api.spotify.com/v1/tracks/5HHWykPjtlGoJpZpoy4zNH
5jf0PmPCHefQ78uAzqIqbj,Una Lady Como Tú,0tmwSHipWxN12fsoLcFU3B,69,https://api.spotify.com/v1/tracks/5jf0PmPCHefQ78uAzqIqbj
5EBtY2shIV1vmY4bnvvV6T,Boyfriend,0C8ZW7ezQVs4URX5aX7Kqx,57,https://api.spotify.com/v1/tracks/5EBtY2shIV1vmY4bnvvV6T
4QnC1bIaMSfDQvF4XDhV5M,Boyfriend,0C8ZW7ezQVs4URX5aX7Kqx,56,https://api.spotify.com/v1/tracks/4QnC1bIaMSfDQvF4XDhV5M
4jQxIH11pyibkpzS1xjlkw,Break My Heart Myself (feat. Travis Barker),64M6ah0SkkRsnPGtGiRAbb,45,https://api.spotify.com/v1/tracks/4jQxIH11pyibkpzS1xjlkw
4jQxIH11pyibkpzS1xjlkw,Break My Heart Myself (feat. Travis Barker),4exLIFE8sISLr28sqG1qNX,45,https://api.spotify.com/v1/tracks/4jQxIH11pyibkpzS1xjlkw
3UjGudrhckjEQjKHLR3p5G,Break My Heart Myself (feat. Travis Barker),64M6ah0SkkRsnPGtGiRAbb,67,https://api.spotify.com/v1/tracks/3UjGudrhckjEQjKHLR3p5G
3UjGudrhckjEQjKHLR3p5G,Break My Heart Myself (feat. Travis Barker),4exLIFE8sISLr28sqG1qNX,67,https://api.spotify.com/v1/tracks/3UjGudrhckjEQjKHLR3p5G
6d4nagVvGdvMEq1Ngg5PPb,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),7bXgB6jMjp9ATFy66eO08Z,51,https://api.spotify.com/v1/tracks/6d4nagVvGdvMEq1Ngg5PPb
6d4nagVvGdvMEq1Ngg5PPb,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),3hcs9uc56yIGFCSy9leWe7,51,https://api.spotify.com/v1/tracks/6d4nagVvGdvMEq1Ngg5PPb
6d4nagVvGdvMEq1Ngg5PPb,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),59HbaJ5E8ud7FNLGqUN1KH,51,https://api.spotify.com/v1/tracks/6d4nagVvGdvMEq1Ngg5PPb
6iJex7WFYeUNGRNr7s3Yew,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),7bXgB6jMjp9ATFy66eO08Z,25,https://api.spotify.com/v1/tracks/6iJex7WFYeUNGRNr7s3Yew
